COUNTRY_NAME,POC,Vendedor,Frequência_de_Visita,Dia_da_Visita,Semana_da_Visita,AVG_LATITUDE,AVG_LONGITUDE,Número_de_Compras,Faturamento_Mensal_USD,Faturamento_Mensal_USD_(formatado),Visita_Semanal,Semana_1,Semana_2,Semana_3,Semana_4,Dia_da_Semana,Quartil_Faturamento
EC,11803517,ECECB282,4,3,CMPL,-2.7428445,-78.849739625,8,103820.37,"$103,820.37",1.0,0,0,0,0,ter,Q4
EC,11804079,ECECB224,2,3,2.0,-2.1557265,-79.92296505,3,1967.49,"$1,967.49",0.5,0,1,0,0,ter,Q1
EC,11804339,ECECB584,2,5,1.0,-1.78404903333,-79.67961216667,7,8654.81,"$8,654.81",0.5,1,0,0,0,qui,Q4
EC,11804780,ECECB026,4,6,CMPL,-1.79646986667,-79.53575653333,4,31811.9,"$31,811.90",1.0,0,0,0,0,sex,Q4
EC,11805151,ECECB093,2,7,1.0,-1.79118463333,-79.63255606667,8,2623.85,"$2,623.85",0.5,1,0,0,0,sab,Q2
EC,11805264,ECECB584,2,3,2.0,-1.6817648,-79.4949277,6,2599.62,"$2,599.62",0.5,0,1,0,0,ter,Q2
EC,11805667,ECECB465,2,3,1.0,-1.9932128,-79.3561858,4,2954.94,"$2,954.94",0.5,1,0,0,0,ter,Q2
EC,11807463,ECECB471,2,6,1.0,-2.16793945,-79.8867595,8,3325.28,"$3,325.28",0.5,1,0,0,0,sex,Q2
EC,11807542,ECECBA38,2,3,2.0,-1.36638725,-79.9013912,5,2304.48,"$2,304.48",0.5,0,1,0,0,ter,Q1
EC,11810131,ECECB428,2,4,2.0,-0.8841015,-80.09826873333,10,132692.21,"$132,692.21",0.5,0,1,0,0,qua,Q4
EC,11810153,ECECB436,4,4,CMPL,-0.84814845,-80.163132225,12,3410.3,"$3,410.30",1.0,0,0,0,0,qua,Q3
EC,11810377,ECECB272,2,7,2.0,-4.40138005,-79.46827205,7,3634.63,"$3,634.63",0.5,0,1,0,0,sab,Q3
EC,11810402,ECECB272,2,7,2.0,-4.40072835,-79.4685357,6,2690.95,"$2,690.95",0.5,0,1,0,0,sab,Q2
EC,11811151,ECECB558,2,5,1.0,-3.98668335,-79.3566221,6,2163.53,"$2,163.53",0.5,1,0,0,0,qui,Q1
EC,11811340,ECECBA19,2,2,2.0,-4.10225145,-79.95628465,13,3390.75,"$3,390.75",0.5,0,1,0,0,seg,Q3
EC,11811497,ECECB339,2,2,1.0,-3.87834423333,-79.6452312,6,1988.56,"$1,988.56",0.5,1,0,0,0,seg,Q1
EC,11812403,ECECBA51,4,2,CMPL,-0.8053181,-80.0151461,6,12091.49,"$12,091.49",1.0,0,0,0,0,seg,Q4
EC,11813391,ECECB221,2,5,1.0,-2.1321981,-79.9567429,11,2677.72,"$2,677.72",0.5,1,0,0,0,qui,Q2
EC,11813984,ECECB282,4,5,CMPL,-2.89528455,-79.0264571,11,32897.82,"$32,897.82",1.0,0,0,0,0,qui,Q4
EC,11814131,ECECB280,2,4,2.0,-2.89921493333,-79.0073478,11,3942.97,"$3,942.97",0.5,0,1,0,0,qua,Q3
EC,11814985,ECECBA37,1,6,1.0,-2.221332,-79.4430636,10,3799.27,"$3,799.27",0.25,1,0,0,0,sex,Q3
EC,11815020,ECECBA37,1,6,1.0,-2.2199301,-79.4424208,15,6523.04,"$6,523.04",0.25,1,0,0,0,sex,Q4
EC,11815059,ECECB253,4,2,CMPL,-2.2512818,-79.89625462857,6,2142.3,"$2,142.30",1.0,0,0,0,0,seg,Q1
EC,11816369,ECECB279,2,3,1.0,-2.94279103333,-78.96113263333,7,2915.24,"$2,915.24",0.5,1,0,0,0,ter,Q2
EC,11817336,ECECB209,4,2,CMPL,-2.12548345,-79.94334395,1,20678.73,"$20,678.73",1.0,0,0,0,0,seg,Q4
EC,11818308,ECECB277,2,6,1.0,-2.91176745,-79.00751365,8,3436.44,"$3,436.44",0.5,1,0,0,0,sex,Q3
EC,11820499,ECECB503,4,2,CMPL,-2.1205242,-79.9082701,6,2252.19,"$2,252.19",1.0,0,0,0,0,seg,Q1
EC,11821769,ECECB277,2,3,2.0,-2.9283366,-79.0108681,9,2807.83,"$2,807.83",0.5,0,1,0,0,ter,Q2
EC,11821935,ECECB309,4,3,CMPL,-2.22373265,-80.082769575,5,4507.27,"$4,507.27",1.0,0,0,0,0,ter,Q3
EC,11822040,ECECBA25,2,3,1.0,-2.70881643333,-80.2480977,8,14463.42,"$14,463.42",0.5,1,0,0,0,ter,Q4
EC,11823242,ECECB209,4,2,CMPL,-2.06915555,-79.93168375,3,13846.44,"$13,846.44",1.0,0,0,0,0,seg,Q4
EC,11823476,ECECB207,2,5,1.0,-2.0859971,-79.91295095,4,2063.05,"$2,063.05",0.5,1,0,0,0,qui,Q1
