Vendedor,Visitas,Total Visitas,Total Km,Total Horas
ECECB282,"[11803517, 11803443, 11803592, 11803383, 12859846, 12801076, 12987183, 13706163, 11810007, 11803364, 14224029, 12967106]",12,27.116223610789753,2.0
ECECB224,"[11935304, 12857190, 11826492, 11935291, 11935292, 11822382, 11935294, 11935265, 12881048, 12739275, 11935284, 12895476]",12,59.364336284750124,2.0
ECECB584,"[11804320, 11804353, 12166754, 11804339, 11806160, 11805155, 11804259, 11804325, 12147242, 14080977, 13784931, 11806325]",12,26.16816669234268,2.0
ECECB026,"[11806601, 12116024, 11804780, 12960350, 13958139, 13705215, 12796613, 14210889, 14044132, 11804890, 12912658, 12959488]",12,14.622888155264349,2.0
ECECB093,"[11804320, 11804353, 12600864, 12166754, 11804339, 11806160, 11805155, 11804259, 11804325, 12147242, 14080977, 13784931]",12,57.4288894386017,2.0
ECECB584,"[11804010, 11805279, 13150098, 13150366, 11805264, 11804011, 12915839, 13698064]",8,33.18695429389107,1.3333333333333333
ECECB465,"[11805685, 12784786, 11805198, 14061823, 11898692, 12238361, 12964526, 11805667, 12424958, 12309526, 12183109]",11,45.09442438675291,1.8333333333333335
ECECB471,"[11935304, 12857190, 11826492, 11935273, 11935291, 11935292, 11822382, 11935294, 12881048, 12615380, 12739275, 11935284]",12,55.78613606368543,2.0
ECECBA38,"[11807487, 12441594, 11807416, 14056395, 11810002, 11828792, 11828724, 11807515, 14088097, 11807542, 13437770, 11807323]",12,8.827464596822614,2.0
ECECB428,"[11810131, 13149941, 11898909, 11898913]",4,8.485048446992327,0.6666666666666666
ECECB436,"[13149941, 11810125, 11869047, 12910450, 11810197, 11828648, 12665533, 14137906, 11810153, 13435468, 11895101, 14018137]",12,28.124591441553406,2.0
ECECB272,"[13536313, 11830673, 11830675, 11810377, 14119358, 11810406, 11810402, 11810321, 11810381]",9,22.06310581977719,1.5
ECECB272,"[13536313, 11830673, 11830675, 11810377, 14119358, 11810406, 11810402, 11810321, 11810381]",9,22.482769239469206,1.5
ECECB558,"[12850974, 11810994, 11811305, 12435840, 11810952, 11811265, 12649288, 12392773, 11811224, 11811297, 11810985, 11810911]",12,12.307786938218928,2.0
ECECBA19,"[11811419, 11811402, 11811340]",3,0.6249752553137551,0.5
ECECB339,"[11811464, 11811497]",2,0.619473310399022,0.3333333333333333
ECECBA51,[11812403],1,0.0,0.16666666666666666
ECECB221,"[12857190, 11812867, 11935292, 11935265, 12881048, 12739275, 11935274, 12910714, 12895476, 11935293, 11935314, 13121219]",12,67.87567763138017,2.0
ECECB282,"[13532168, 13996559, 11816764, 11824067, 11819262, 12302431, 11813984, 11817773, 11814787, 11813316, 11814326, 11817844]",12,21.070118974704815,2.0
ECECB280,"[13532168, 13996559, 11816764, 11824067, 11819262, 12302431, 11813984, 11817773, 11814787, 11813316, 11814326, 11817844]",12,21.206322495244176,2.0
ECECBA37,"[11880252, 12504477, 11880125, 11815020, 12495148, 11880212, 11880513, 12640298, 11814985, 12778810, 12622942, 11880404]",12,50.564163250746496,2.0
ECECBA37,"[11880252, 12504477, 11880125, 11815020, 12495148, 11880212, 11880513, 12640298, 11814985, 12778810, 12622942, 11880404]",12,49.25744195442674,2.0
ECECB253,"[11935304, 11826492, 11822382, 11935294, 11935302, 12615380, 12617969, 11836397, 14082873, 13359117, 13022947, 11816018]",12,50.998806588757176,2.0
ECECB279,"[13532168, 13996559, 11824067, 11814787, 11813316, 11814326, 12656234, 13539201, 12793244, 12258564, 13017742, 12403153]",12,78.4253745257544,2.0
ECECB209,"[12857190, 11812867, 11935291, 11935292, 11935265, 12881048, 12739275, 12910714, 12895476, 11935293, 11935314, 13121219]",12,55.127855794326464,2.0
ECECB277,"[13532168, 13996559, 11816764, 11824067, 11819262, 12302431, 11813984, 11817773, 11814787, 11813316, 11814326, 11817844]",12,27.84548939082773,2.0
ECECB503,"[12857190, 11812867, 11935291, 11935292, 11935265, 12881048, 11935284, 12237252, 12910714, 12895476, 11935293, 11935314]",12,44.517383223395264,2.0
ECECB277,"[13532168, 13996559, 11816764, 11824067, 11819262, 12302431, 11813984, 11817773, 11814787, 11813316, 11814326, 11817844]",12,45.17750755994744,2.0
ECECB309,"[13211972, 14171036, 11821935, 13079646, 11823047, 13713783, 13241397, 11821304, 11821719, 14009587, 12673544]",11,29.38460247375067,1.8333333333333335
ECECBA25,"[11822040, 13079435, 11814893, 12731136, 12463626, 11833537, 11833657, 11812389, 11833396, 12431628, 11833659, 13713701]",12,6.63821066024353,2.0
ECECB209,"[12857190, 11812867, 11935292, 11935315, 11935265, 12881048, 12237252, 12910714, 12895476, 11935293, 11935314, 11804112]",12,47.82502445744849,2.0
ECECB207,"[12857190, 11812867, 11935291, 11935292, 11935315, 11935265, 12881048, 12237252, 12910714, 12895476, 11935293, 11935314]",12,44.06161119111132,2.0
ECECB282,"[13532168, 13996559, 11816764, 11824067, 11819262, 12302431, 11813984, 11817773, 11814787, 11813316, 11814326, 11817844]",12,34.95015608280644,2.0
ECECB551,"[13532168, 13996559, 11816764, 11824067, 11819262, 12302431, 11813984, 11817773, 11814787, 11813316, 11814326, 11817844]",12,24.458859888996447,2.0
ECECB209,"[11935265, 11935274, 11935293, 11833954, 14203436, 11824218, 12980808, 11821322, 12271547, 11817339, 12857026, 12984028]",12,50.97371604086499,2.0
ECECB176,"[11935304, 12857190, 11826492, 11935291, 11822382, 11935294, 11935302, 12615380, 12739275, 11935284, 11935287, 13121219]",12,48.694326128206626,2.0
ECECB207,"[11812867, 11935292, 11935315, 11935265, 12881048, 12237252, 12910714, 12895476, 11935293, 11935314, 11804112, 11935278]",12,59.841203070651034,2.0
ECECB307,"[11935304, 11826492, 11935273, 11935287, 12613845, 11935285, 11935307, 11808816, 12417318, 13784171, 12301715, 13887070]",12,65.65180405779337,2.0
ECECBA65,"[13536313, 11830673, 11830675, 11810377, 14119358, 11810406, 11810402, 11810321, 11810381]",9,28.26024800249953,1.5
ECECB176,"[11935304, 12857190, 11826492, 11935291, 11935292, 11822382, 11935294, 11935302, 12881048, 12615380, 12739275, 11935284]",12,51.98322938860867,2.0
ECECBA60,"[11834787, 11833588, 11833437, 14222277, 11833448, 14080091, 11833578, 11833435]",8,3.9865816995306997,1.3333333333333333
ECECB507,"[11935304, 12857190, 11826492, 11935273, 11935291, 11935292, 11822382, 11935294, 11935302, 12881048, 12615380, 11935284]",12,58.32504880282991,2.0
ECECB209,"[12857190, 11812867, 11935291, 11935292, 11935265, 12881048, 12739275, 11935274, 12910714, 12895476, 11935293, 11935314]",12,66.31823144405612,2.0
ECECB201,"[11935304, 11826492, 11935291, 11822382, 11935294, 11935302, 12615380, 12739275, 11935284, 13121219, 12613845, 12617969]",12,44.65172246466652,2.0
