Vendedor,Visitas,Total Visitas,Total Km,Total Horas
ECECB282,"[11803517, 13706163, 11803364, 11803383, 11803455, 11810007, 12859846, 12967106, 14224029, 12801076, 11803592, 11803443]",12,25.20323097468145,2.0
ECECB224,"[11804079, 11807463, 11813391, 11817336, 11820499, 11825202, 11832451, 11833930, 11833954, 11834171, 11835133, 11835452]",12,54.53883865296113,2.0
ECECB584,"[11804339, 11805151, 11804461, 12166754, 13659976, 14080977, 12147242, 11804353, 11806325, 12654801, 14182973, 11804320]",12,26.877639019689074,2.0
ECECB026,"[11804780, 13958139, 14210889, 12116024, 12618075, 12244097, 13108309, 12959488, 11806601, 13780680, 11805028, 11805126]",12,27.268416037366563,2.0
ECECB093,"[11804339, 11805151, 11900035, 11804461, 12166754, 13659976, 14080977, 12147242, 12600864, 11804353, 11806325, 12654801]",12,47.66548828807354,2.0
ECECB584,"[11805264, 11804011, 11804010, 12915839, 13150366, 13698064, 11805279, 13150098]",8,33.18695429389108,1.3333333333333333
ECECB465,"[11805667, 11898692, 11805685, 11805198, 12309526, 12964526, 12238361, 14061823, 12183109, 12424958, 12784786]",11,45.09442438675291,1.8333333333333335
ECECB471,"[11804079, 11807463, 11820499, 11825202, 11828574, 11832451, 11833930, 11834171, 11835133, 11835452, 11836427, 11837932]",12,56.11838729473904,2.0
ECECBA38,"[11807542, 11807416, 11807487, 11807323, 11828724, 12441594, 11828792, 13710366, 14088097, 13437770, 11810002, 11807515]",12,9.47980572735913,2.0
ECECB428,"[11810131, 11898909, 11898913, 13149941]",4,8.485048446992327,0.6666666666666666
ECECB436,"[11810153, 12637252, 11869047, 11811642, 12739219, 12910450, 12604512, 11828648, 14137906, 14177703, 13149941, 13435468]",12,32.65441796436998,2.0
ECECB272,"[11810377, 11810402, 11830673, 11810321, 11810406, 13536313, 11810381, 11830675, 14119358]",9,22.06310581977718,1.5
ECECB272,"[11810377, 11810402, 11830673, 11810321, 11810406, 13536313, 11810381, 11830675, 14119358]",9,22.482769239469206,1.5
ECECB558,"[11811151, 12392773, 11811305, 11811224, 11811297, 12649288, 11810994, 12604026, 12743011, 11810952, 11988803, 11810985]",12,10.60302866620001,2.0
ECECBA19,"[11811340, 11811402, 11811419]",3,0.6249752553137551,0.5
ECECB339,"[11811497, 11811464]",2,0.619473310399022,0.3333333333333333
ECECBA51,[11812403],1,0.0,0.16666666666666666
ECECB221,"[11804079, 11813391, 11817336, 11820499, 11823242, 11823476, 11824218, 11833954, 11835133, 11838096, 11840446, 12297971]",12,54.45675950222033,2.0
ECECB282,"[11813984, 11814131, 11818308, 11821769, 11824067, 11824085, 12302431, 13217129, 13854991, 14080078, 14235391, 11818048]",12,38.10871095181451,2.0
ECECB280,"[11813984, 11814131, 11816369, 11818308, 11821769, 11824067, 11824085, 12302431, 13217129, 13854991, 14080078, 14235391]",12,32.082844518847715,2.0
ECECBA37,"[11814985, 11815020, 11880314, 13438776, 11880252, 12495148, 11880125, 12636936, 13436859, 11880232, 11880513, 12530858]",12,50.33542761136475,2.0
ECECBA37,"[11814985, 11815020, 11880314, 13438776, 11880252, 12495148, 11880125, 12636936, 13436859, 11880232, 11880513, 12530858]",12,49.384265352930896,2.0
ECECB253,"[11815059, 11825202, 11832451, 11834171, 11835452, 11836427, 11837932, 11841462, 11935307, 12446959, 12553038, 12781576]",12,53.33078284016806,2.0
ECECB279,"[11814131, 11816369, 11818308, 11821769, 11824067, 11824085, 13854991, 14235391, 12431025, 13179918, 13539201, 11820689]",12,69.91798046298163,2.0
ECECB209,"[11804079, 11813391, 11817336, 11820499, 11823242, 11823476, 11824218, 11833954, 11835133, 11838096, 11840446, 12297971]",12,50.604355916021866,2.0
ECECB277,"[11813984, 11814131, 11816369, 11818308, 11821769, 11824067, 11824085, 12302431, 13217129, 13854991, 14080078, 14235391]",12,34.26665553056449,2.0
ECECB503,"[11804079, 11807463, 11813391, 11817336, 11820499, 11823242, 11823476, 11827057, 11833954, 11835133, 12138873, 12297971]",12,53.76983211603111,2.0
ECECB277,"[11813984, 11814131, 11816369, 11818308, 11821769, 11824067, 11824085, 12302431, 13217129, 13854991, 14235391, 12431025]",12,42.34033047382332,2.0
ECECB309,"[11821935, 14171036, 11821719, 12673544, 11823047, 13211972, 13713783, 14009587, 13079646, 11821304, 13241397]",11,29.38460247375067,1.8333333333333335
ECECBA25,"[11822040, 13437238, 11812389, 12431628, 12596070, 13713701, 11833396, 12838190, 13079435, 11814893, 11833657, 12463626]",12,6.193606113511597,2.0
ECECB209,"[11813391, 11817336, 11820499, 11823242, 11823476, 11827057, 11833954, 11835133, 12297971, 12457374, 12604008, 12857190]",12,58.80213977315527,2.0
ECECB207,"[11813391, 11817336, 11820499, 11823242, 11823476, 11827057, 11833954, 11835133, 12297971, 12457374, 12857190, 12980700]",12,49.144887538468026,2.0
ECECB282,"[11813984, 11814131, 11816369, 11818308, 11821769, 11824067, 11824085, 12302431, 13217129, 13854991, 14080078, 14235391]",12,42.1687602707932,2.0
ECECB551,"[11813984, 11814131, 11816369, 11818308, 11821769, 11824067, 11824085, 12302431, 13217129, 13854991, 14080078, 14235391]",12,35.62758004197876,2.0
ECECB209,"[11813391, 11817336, 11824218, 11833954, 11838096, 12457374, 12649948, 12984028, 11824356, 12654688, 11837877, 12857026]",12,51.627500883086896,2.0
ECECB176,"[11804079, 11807463, 11815059, 11825202, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11840446, 11935307]",12,37.1409346506468,2.0
ECECB207,"[11820499, 11823242, 11823476, 11827057, 11835133, 12297971, 13937079, 14027569, 11935278, 11969741, 12604060, 12910714]",12,48.793328790214574,2.0
ECECB307,"[11807463, 11828574, 11833930, 11935307, 12129386, 12138873, 12640262, 13887070, 13955704, 11805899, 11826105, 11828799]",12,64.31966642572209,2.0
ECECBA65,"[11810377, 11810402, 11830673, 11810321, 11810406, 13536313, 11810381, 11830675, 14119358]",9,28.260248002499534,1.5
ECECB176,"[11804079, 11807463, 11815059, 11825202, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11840446, 11935307]",12,37.45098293088741,2.0
ECECBA60,"[11833588, 11833578, 11833435, 11834787, 14222277, 14080091, 11833448, 11833437]",8,3.9865816995306997,1.3333333333333333
ECECB507,"[11804079, 11807463, 11825202, 11828574, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11935307, 12129386]",12,43.102598044673165,2.0
ECECB209,"[11804079, 11813391, 11817336, 11820499, 11823242, 11823476, 11824218, 11833954, 11835133, 11838096, 11840446, 12297971]",12,51.97631786178562,2.0
ECECB201,"[11804079, 11807463, 11815059, 11825202, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11840446, 11935307]",12,39.507909688028775,2.0
ECECB234,"[11804079, 11807463, 11813391, 11817336, 11820499, 11823242, 11823476, 11827057, 11833954, 11835133, 12138873, 12297971]",12,51.02683710604558,2.0
ECECB618,"[11835326, 11812637, 12442187]",3,0.17924042168413956,0.5
ECECB251,"[11804079, 11807463, 11815059, 11825202, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11840446, 11841462]",12,54.960453378870454,2.0
ECECB252,"[11804079, 11807463, 11815059, 11825202, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11840446, 11935307]",12,46.111281703983906,2.0
ECECB203,"[11804079, 11807463, 11815059, 11825202, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11935307, 12129386]",12,39.463248361493285,2.0
ECECBA55,"[11813391, 11817336, 11824218, 11833954, 11838096, 12457374, 12604008, 12649948, 12984028, 11824356, 11969741, 12654688]",12,52.90521204386273,2.0
ECECBA57,"[11838301, 13241289, 13657723, 13714733, 11838331, 14196697, 13786535]",7,12.579468781464861,1.1666666666666665
ECECB044,"[11838501, 13946464, 11841170, 11961027, 13936634, 11842466, 12040156, 12890401, 11842505, 13990141, 11839893, 11842504]",12,33.28342127215325,2.0
ECECB240,"[11804079, 11813391, 11817336, 11825202, 11832451, 11833954, 11834171, 11835452, 11836427, 11840446, 12446959, 12781576]",12,66.5593350174008,2.0
ECECB509,"[11815059, 11835452, 11841462, 12553038, 13022223, 13772383, 11972619, 12275034, 13657027, 13663677, 13706928, 13990170]",12,54.07925579329181,2.0
ECECB023,"[11843708, 12451742, 12781059, 12776609, 14193276, 12295540, 12872745, 11843903, 11843602, 11858470, 13241762, 14149781]",12,13.514586439808594,2.0
ECECB264,"[11845165, 11845408, 11846412, 13439116, 13786801, 14186118, 11845909, 11846442, 13150135, 13536853, 11845014, 13356863]",12,47.072250832770536,2.0
ECECBA65,"[11845165, 11845408, 11846412, 13439116, 13786801, 14186118, 11845909, 11846442, 13150135, 13536853, 11845014, 13356863]",12,21.64023455099861,2.0
ECECBA41,"[11845581, 11846548, 13885937, 13932548, 14017315, 12494417, 11845216, 12132989, 13042648, 14190048, 11845247]",11,44.07998578260041,1.8333333333333335
ECECB556,"[11845165, 11845408, 11846412, 13439116, 13786801, 14186118, 11845909, 11846442, 13150135, 13536853, 11845014, 13356863]",12,27.368709733555146,2.0
ECECBA02,"[11846783, 11867167, 12627511, 11846752, 14191308, 11846756, 12979362, 12283499, 13504903, 12496929, 12983692, 14153300]",12,50.198834981802506,2.0
ECECB066,"[11847503, 13242704, 11924766, 13409087, 13711316, 11868373, 11924696, 11924805, 11924785, 12090942]",10,26.484336087100555,1.6666666666666667
ECECB071,"[11847700, 11847701, 11847730, 11852701, 11873995, 12891686, 13042918, 13873338, 11879157, 12462160, 12533218, 12733701]",12,30.56963012257426,2.0
ECECB071,"[11847700, 11847701, 11847730, 11852701, 11873995, 13042918, 13873338, 11879157, 12462160, 12533218, 13436099, 13656038]",12,14.46810145806421,2.0
ECECB073,"[11847700, 11847701, 11847730, 11852701, 11873995, 12891686, 13042918, 13873338, 11879157, 12462160, 12533218, 13436099]",12,18.907889538372167,2.0
ECECB562,"[11848188, 14081391, 11848714, 11849495, 11848410, 11849247, 11851995, 11848441]",8,30.764586836373333,1.3333333333333333
ECECB040,"[11848218, 11848341, 11853199, 11886402, 11853203, 12576710, 13025535, 11848533, 12613729, 11848370]",10,10.652425143749475,1.6666666666666667
