Vendedor,Frequência_de_Visita
ECECB542,424
ECECBA57,382
ECECB540,379
ECECB584,374
ECECB245,372
ECECB004,371
ECECB421,370
ECECBA56,358
ECECB412,355
ECECB065,355
ECECB326,354
ECECB323,351
ECECB395,347
ECECB027,346
ECECB102,345
ECECB309,342
ECECB539,340
ECECB315,335
ECECB262,334
ECECB548,332
ECECB599,331
ECECB541,331
ECECB618,330
ECECB043,329
ECECB002,328
ECECB570,328
ECECBA47,328
ECECB413,327
ECECB034,327
ECECB434,326
ECECB538,326
ECECB603,325
ECECB334,324
ECECB543,324
ECECB025,323
ECECBA13,323
ECECBA09,323
ECECB330,321
ECECB008,321
ECECB061,320
ECECB017,319
ECECB329,319
ECECB021,318
ECECB331,318
ECECB235,316
ECECB324,316
ECECBA75,316
ECECB565,315
ECECB325,310
ECECB295,310
ECECB104,307
ECECB204,307
ECECB337,306
ECECB588,306
ECECB191,305
ECECB253,304
ECECB332,304
ECECBA89,303
ECECBA95,302
ECECB529,302
ECECB544,302
ECECB546,302
ECECB041,301
ECECBA97,300
ECECB595,300
ECECB521,299
ECECB058,298
ECECB336,298
ECECB233,298
ECECB031,296
ECECB037,295
ECECB471,294
ECECB564,294
ECECB422,294
ECECB530,292
ECECB033,292
ECECB050,291
ECECBA26,290
ECECB298,290
ECECB321,289
ECECB010,289
ECECB423,287
ECECB408,286
ECECB189,285
ECECB527,285
ECECB186,285
ECECB535,284
ECECB536,283
ECECB523,283
ECECB572,282
ECECB571,282
ECECB601,281
ECECB562,281
ECECB339,281
ECECB022,281
ECECB028,280
ECECB051,279
ECECB048,279
ECECB553,279
ECECB524,279
ECECB528,279
ECECB216,278
ECECB581,278
ECECB589,278
ECECB586,278
ECECB437,278
ECECB296,278
ECECB534,277
ECECB256,277
ECECB569,277
ECECB030,277
ECECB462,276
ECECB084,275
ECECB230,275
ECECB566,274
ECECB044,274
ECECB039,273
ECECB001,273
ECECB550,273
ECECB015,273
ECECBA61,273
ECECB086,272
ECECB317,272
ECECBA02,272
ECECB219,271
ECECB416,271
ECECB512,269
ECECB205,268
ECECB402,268
ECECB394,268
ECECB426,268
ECECB532,267
ECECB193,267
ECECB272,267
ECECB319,266
ECECB221,265
ECECB062,263
ECECB304,262
ECECB016,262
ECECB420,262
ECECB526,261
ECECB303,261
ECECB597,261
ECECB263,259
ECECBA52,259
ECECB181,258
ECECB506,258
ECECB238,257
ECECBA23,257
ECECB271,256
ECECB511,255
ECECB176,254
ECECBA96,254
ECECBA54,254
ECECB592,254
ECECB558,254
ECECB525,254
ECECB111,254
ECECB019,254
ECECB492,253
ECECB255,252
ECECBA55,251
ECECB225,250
ECECB197,250
ECECB555,250
ECECB107,250
ECECBA77,249
ECECB203,249
ECECB240,248
ECECB251,246
ECECB066,246
ECECB579,245
ECECB587,245
ECECBA71,244
ECECBA22,244
ECECB083,244
ECECB593,244
ECECB549,243
ECECB059,243
ECECBA16,243
ECECBA67,243
ECECBA92,243
ECECBA21,242
ECECBA98,242
ECECB278,242
ECECB591,242
ECECB551,242
ECECB598,242
ECECB060,241
ECECB252,241
ECECB280,241
ECECB088,241
ECECBA37,240
ECECB277,240
ECECB567,240
ECECB090,240
ECECBA49,240
ECECB175,240
ECECB411,239
ECECBA60,239
ECECB094,238
ECECB127,238
ECECB557,237
ECECB224,237
ECECBA38,236
ECECB082,236
ECECB182,235
